entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,Revaluations,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,OtherAdjustmentsRelatedToInvestments,ProfitLossRelatedToInvestments,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherFinanceExpenses,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ValueAdjustmentsOfEquity,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,RevaluationReserve,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity
30512022,2014-12-31,2014-12-31,c4,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,4737354.0,,,,,,,,,,,5070295.0,5084265.0,0.0,125000.0,13970.0,5084265.0,346911.0,5070295.0,5070295.0,221911.0,-334788.0,4947142.0,346911.0,125000.0,13970.0,13970.0,0.0,,,,
30512022,2014-12-31,2014-12-31,c722,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30512022,2014-12-31,2014-12-31,c731,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,4947142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30512022,2014-12-31,2014-12-31,c743,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,-334788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30512022,2015-01-01,2015-01-01,c175,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,-2014704.0,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,2137857.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30512022,2015-01-01,2015-01-01,c181,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30512022,2015-01-01,2015-01-01,c187,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,4947142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30512022,2015-01-01,2015-01-01,c199,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,-334788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30512022,2015-01-01,2015-12-31,c1,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,,396612.0,,,-5495.0,402977.0,870.0,870.0,396612.0,-5495.0,,,,,,,,,,,,,,,,,,,,,,
30512022,2015-01-01,2015-12-31,c122,,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2U0LzRjL2Q2L2I4YTQtNGM1ZS1iYjAxLTEzMzUzM2JlN2ZhNw.pdf,http://regnskaber.virk.dk/22021503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzQwL2VmLzZhL2JmZjctNDE5Zi05YzU4LTliZTgxZmNmYzRhYg.xml,,Danmark,RingkÃ¸bing,6950.0,"20 A, 1.",Birkmosevej,Holstebro,7500.0,8.0,Vestergade,Spjald,6971.0,1-3,HÃ¸jrisvej,"6950, RingkÃ¸bing","Birkmosevej, 20 A, 1.",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-24,2016-06-24,2016-06-24,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",15807776.0,30512022.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2015 for JC Liberty Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren H. Andersen,Jens Kristian Christensen,Jens Kristian Christensen,"Partner Revision, statsautoriseret revisionsaktieselskab",Sparekassen Thy,JC Liberty Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Spjald,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,0.0,2016-06-24,RingkÃ¸bing,97 32 10 55,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22777835,indberetninger-20180424,2.5097417999999996,30512022.0,,2018-03-29T14:42:24.649Z,2016-06-27T08:51:07.971Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-49-FM,2016-06-27T08:51:08.164Z,,396612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
