Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
12,2010-12-09,0.0,0.0,10919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2011-07-01,29133.0,0.0,2132020.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
13,2011-07-01,0.0,0.0,2132020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2012-07-01,-118258.0,0.0,1338241.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
14,2012-07-01,-118258.0,0.0,1338241.0,0.0,0.0,0.0,0.0,0.0,0.0,2730.0
14,2013-07-01,15683.0,0.0,1185228.0,0.0,0.0,0.0,0.0,100000.0,0.0,2730.0
15,2013-07-01,15683.0,0.0,1185228.0,0.0,0.0,0.0,0.0,0.0,0.0,2730.0
15,2014-07-01,-182214.0,0.0,1113237.0,0.0,0.0,0.0,0.0,120000.0,0.0,2730.0
16,2014-07-01,-182214.0,1113237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2730.0
16,2015-07-01,-412157.0,780235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2730.0
17,2015-07-01,-412157.0,0.0,780235.0,0.0,0.0,9.0,0.0,0.0,0.0,2730.0
17,2016-07-01,-789061.0,0.0,254700.0,0.0,0.0,9.0,0.0,120000.0,0.0,2730.0
18,2016-04-01,-789061.0,0.0,254700.0,0.0,0.0,9.0,0.0,0.0,0.0,2730.0
18,2017-04-01,351211.0,0.0,2290288.0,0.0,0.0,9.0,0.0,0.0,0.0,2730.0
18,2017-04-01,351211.0,0.0,2290288.0,0.0,0.0,9.0,0.0,120000.0,0.0,2730.0
18,2018-04-01,-167401.0,0.0,7415.0,0.0,0.0,9.0,0.0,120000.0,0.0,2730.0
19,2017-07-01,-167401.0,0.0,7415.0,0.0,0.0,9.0,0.0,0.0,0.0,2730.0
19,2018-07-01,338783.0,0.0,3511276.0,0.0,0.0,10.0,0.0,120000.0,0.0,2730.0
