entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,ProvisionsForInvestmentsInGroupEnterprises,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,DividendPaid
29146160,2018-06-01,2019-05-31,c1,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146160,2018-06-01,2019-05-31,c15,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,0.0,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
29146160,2018-06-01,2019-05-31,c16,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,86476.0,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146160,2018-06-01,2019-05-31,c17,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,157220.0,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146160,2018-06-01,2019-05-31,c2,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146160,2018-06-01,2019-05-31,c4,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,86476.0,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146160,2018-06-01,2019-05-31,c6,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,157220.0,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146160,2019-05-31,2019-05-31,c18,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,
29146160,2019-05-31,2019-05-31,c19,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,86476.0,,,,,,,,,,,,,,,,,,,,,,,
29146160,2019-05-31,2019-05-31,c20,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,1430639.0,,,,,,,,,,,,,,,,,,,,,,,
29146160,2019-05-31,2019-05-31,c21,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzNkL2NiLzgxL2QwOTgtNDljZS05ODNlLTYxZTYyMGE3MGI3Mw.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzVkLzlmLzA2LzM2YzQtNDYxNi05ZmI4LTI4NzMwMzg3MDNlNw.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzk0Lzc0LzI4LzkxLzg5Y2EtNGI5Mi04MDhiLTNlMzRjY2Y3OGQxOQ.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-11-14,2019-11-14,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Hedensted,2017-06-01,2018-05-31,,,,2019-05-31,2018-06-01,true,2019-11-14,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28021615,indberetninger-20180424,2.5955422,29146160.0,AW5quHSOxzZKlpaAlaOU,2019-11-14T16:21:51.109Z,2019-11-14T16:21:43.038Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DK-61-LR,2019-11-14T16:21:43.270Z,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
