entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfEmployeeBenefitsExpense,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ProposedDividendRecognisedInEquity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,DividendPaid,NameAndSurnameOfMemberOfSupervisoryBoard
87500314,2015-07-01,2016-06-30,c1,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,,,,,,,,,,,,,,,,,,
87500314,2015-07-01,2016-06-30,c16,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,0.0,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,,,,,,,,,,,,,,,,,0.0,
87500314,2015-07-01,2016-06-30,c17,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,0.0,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,,,,,,,,,,,,,,,,,0.0,
87500314,2015-07-01,2016-06-30,c18,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,-186680.0,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,,,,,,,,,,,,,,,,,0.0,
87500314,2015-07-01,2016-06-30,c19,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,,,,,,,,,,,,,,,,,0.0,
87500314,2015-07-01,2016-06-30,c2,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,,,,,,,,,,,,,,,,,,Erik Christiansen
87500314,2015-07-01,2016-06-30,c3,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,,,,,,,,,,,,,,,,,,Bente Christiansen
87500314,2015-07-01,2016-06-30,c5,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,0.0,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,,,,,,,,,,,,,,,,,,
87500314,2015-07-01,2016-06-30,c7,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,-186680.0,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,,,,,,,,,,,,,,,,,,
87500314,2016-06-30,2016-06-30,c20,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,280000.0,,,,,,,,,,,,,,,,,
87500314,2016-06-30,2016-06-30,c21,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,0.0,,,,,,,,,,,,,,,,,
87500314,2016-06-30,2016-06-30,c22,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,-283184.0,,,,,,,,,,,,,,,,,
87500314,2016-06-30,2016-06-30,c23,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,,,,,0.0,,,,,,,,,,,,,,,,,
87500314,2016-06-30,2016-06-30,c9,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzk1L2Y0LzY5L2M0NTctNGQyNS04YmY4LWUxNjFhZmNiOTAxOQ.xhtml,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzL2RmL2Q4L2IyLzhhLzVjYWItNDhmMi04NWQzLTEwOTRlMWQwMWRhMQ.pdf,http://regnskaber.virk.dk/41300578/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzViL2VjLzdjLzU5NzItNDlhNi05MzFkLTBjNDAyYmE2ZmI0OQ.xml,true,HolbÃ¦k,Grevinge,4571.0,182.0,NykÃ¸bingvej,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,2016-09-19,2016-09-20,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har i regnskabsÃ¥ret ikke vÃ¦ret lÃ¸nnet personale.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,87500314.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Bentzen,Erik Christiansen,Nykredit Bank,GUNDESTRUP AUTOCENTER ApS,Finn Bentzens Revisionsinstitut A/S,,,Grevinge,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,,59659230.0,false,false,Ingen bistand,urn:ofk:oid:22980591,indberetninger-20180424,2.5949402000000004,87500314.0,,2018-03-28T20:30:46.735Z,2016-09-20T12:58:55.773Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BE-14-MS,2016-09-20T12:58:56.169Z,0.0,0.0,280000.0,0.0,-3184.0,0.0,0.0,3184.0,0.0,0.0,0.0,3008.0,0.0,0.0,0.0,0.0,-283184.0,176.0,3184.0,0.0,,
