entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,ManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutAccountingPolicies,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutCertainSpecialItems,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutLiabilitiesDueForPaymentMoreThanFiveYearsAfterTheBalanceSheetDate,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutNumberOfEmployees,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,NameAndSurnameOfMemberOfSupervisoryBoard
25544846,2018-12-31,2018-12-31,c9,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzExLzM0LzI1LzBhMzItNDUzZi04Y2E2LTExM2IyYjU0N2Q2MQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY1LzJjLzg5LzVjNTctNDNlOC05NzQwLWRjZmJkMGVlMDNkNw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IxLzk3LzFlLzkxMjEtNGFmNC1hYjI5LThmOGRhZDEzNTkwYQ.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,,,VedbÃ¦k,2017-01-01,2017-12-31,,,2018-12-31,2018-01-01,false,,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27182948,indberetninger-20180424,2.5949414,25544846.0,AWrZbyhSRYGX6_YTH3Nd,2019-05-21T08:09:00.528Z,2019-05-21T08:08:21.476Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-24-GQ,2019-05-21T08:08:21.636Z,2741548.0,22181.0,80000.0,2671349.0,1830278.0,2741548.0,911270.0,70199.0,70199.0,70199.0,284600.0,2649168.0,1750278.0,911270.0,2649168.0,626670.0,
25544846,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,1415.0,1377.0,VedbÃ¦k,2017-01-01,2017-12-31,549018.0,699696.0,2018-12-31,2018-01-01,false,150678.0,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,,,,,,,,,,,,,,,,,
25544846,2017-01-01,2017-12-31,c8,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,,,VedbÃ¦k,2017-01-01,2017-12-31,49018.0,,2018-12-31,2018-01-01,false,,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,,,,,,,,,,,,,,,,,
25544846,2017-12-31,2017-12-31,c10,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,,,VedbÃ¦k,2017-01-01,2017-12-31,,,2018-12-31,2018-01-01,false,,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,446107.0,386973.0,80000.0,423848.0,114308.0,446107.0,331799.0,22259.0,22259.0,22259.0,181121.0,36875.0,34308.0,331799.0,36875.0,150678.0,
25544846,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,6119.0,2848759.0,VedbÃ¦k,2017-01-01,2017-12-31,2215970.0,2842640.0,2018-12-31,2018-01-01,false,626670.0,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,,,,,,,,,,,,,,,,,
25544846,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,,,VedbÃ¦k,2017-01-01,2017-12-31,,,2018-12-31,2018-01-01,false,,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,,,,,,,,,,,,,,,,,
25544846,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,,,VedbÃ¦k,2017-01-01,2017-12-31,,,2018-12-31,2018-01-01,false,,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,,,,,,,,,,,,,,,,,Henrik Kemp
25544846,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,,,VedbÃ¦k,2017-01-01,2017-12-31,,,2018-12-31,2018-01-01,false,,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,,,,,,,,,,,,,,,,,Kasper Hansen
25544846,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,,,VedbÃ¦k,2017-01-01,2017-12-31,,,2018-12-31,2018-01-01,false,,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,,,,,,,,,,,,,,,,,Kenneth Junge Kier Hermansen
25544846,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,,,VedbÃ¦k,2017-01-01,2017-12-31,500000.0,,2018-12-31,2018-01-01,false,,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,,,,,,,,,,,,,,,,,
25544846,2018-01-01,2018-12-31,c7,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzZjL2M4LzczLzVlZDYtNDQyNS05NGY4LWM3OGQ2OTExZjZlOQ.xhtml,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzEzLzA4LzcwLzgxYmYtNDY4MS1iNGZkLTgyZjAwMTcwYzAzYw.pdf,http://regnskaber.virk.dk/64844552/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzQ2L2U0L2Q3LzVlZjUtNGVkZC1hMWI1LWFjNTNjNzVkNWE2Zg.xml,true,VedbÃ¦k,2950.0,106.0,GÃ¸ngehusvej,2950 VedbÃ¦k,GÃ¸ngehusvej 106,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-20,25544846.0,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter Selskabets hovedaktivitet bestÃ¥r i forpagtning og udlejning af virksomhedens kunder til Nordic Innovators P/S og at eje aktier, anparter og kapitalandele i andre selskaber samt anden beslÃ¦gtet virksomhed hertil. Udviklingen i aktiviteter og Ã¸konomiske forhold Selskabets resultatopgÃ¸relse for 2018 udviser et overskud pÃ¥ kr. 2.215.970, og selskabets balance pr. 31. december 2018 udviser en egenkapital pÃ¥ kr. 1.830.278. Betydningsfulde hÃ¦ndelser, som er indtruffet efter regnskabsÃ¥rets afslutning Der er efter regnskabsÃ¥rets afslutning ikke indtruffet begivenheder, som vÃ¦sentligt vil kunne pÃ¥virke selskabets finansielle stilling.</p>",Henrik Kemp,Henrik Kemp,NORDIC INCUBATOR ApS,Henrik Kemp,,,VedbÃ¦k,2017-01-01,2017-12-31,1715970.0,,2018-12-31,2018-01-01,false,,31523236.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27185896,indberetninger-20180424,2.495563,25544846.0,AWrZ-RtbRYGX6_YTH3pr,2019-05-21T10:39:48.944Z,2019-05-21T10:39:01.651Z,regnskab,1.0,,2018-12-31,2018-01-01,X19-BF-41-RW,2019-05-21T10:39:01.909Z,,,,,,,,,,,,,,,,,
