entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,OtherShorttermPayables,OtherShorttermReceivables,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,DividendPaid,NameAndSurnameOfMemberOfExecutiveBoard
35874585,2016-07-01,2017-06-30,c13,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,0.0,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,,,,,,,,,,,,,,,,0.0,
35874585,2016-07-01,2017-06-30,c14,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,0.0,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,,,,,,,,,,,,,,,,0.0,
35874585,2016-07-01,2017-06-30,c15,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,22288.0,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,,,,,,,,,,,,,,,,0.0,
35874585,2016-07-01,2017-06-30,c16,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,0.0,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,,,,,,,,,,,,,,,,0.0,
35874585,2016-07-01,2017-06-30,c2,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,,,,,,,,,,,,,,,,,Jakob Madsen
35874585,2016-07-01,2017-06-30,c4,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,22288.0,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,,,,,,,,,,,,,,,,,
35874585,2017-06-30,2017-06-30,c17,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,50000.0,,,,,,,,,,,,,,,,
35874585,2017-06-30,2017-06-30,c18,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,0.0,,,,,,,,,,,,,,,,
35874585,2017-06-30,2017-06-30,c19,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,14418.0,,,,,,,,,,,,,,,,
35874585,2017-06-30,2017-06-30,c20,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,,,,,0.0,,,,,,,,,,,,,,,,
35874585,2017-06-30,2017-06-30,c6,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzL2ZjL2E0LzhhL2U3MjUtNDRiZS04ZDkxLTYwYWFhNzhmMjhjYg.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2RlL2ZjL2RlLzYxNTktNGY2ZS04YjFhLTYxMTQwNmEyZDE1ZA.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzA3Lzk3LzE4L2JmLzJhOTktNDQyMS05OWMxLTRjZmYyNWEyNDIxOA.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2017-11-11,2017-11-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Ole Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2015-01-19,2016-06-30,,,,2017-06-30,2016-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:24690985,indberetninger-20180424,2.595548,35874585.0,,2018-03-27T17:07:56.319Z,2017-11-13T20:29:42.958Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BD-07-GV,2017-11-13T20:29:43.116Z,83702.0,83702.0,50000.0,83702.0,64418.0,83702.0,19284.0,5574.0,5574.0,11102.0,0.0,0.0,0.0,14418.0,13710.0,0.0,0.0,0.0,2608.0,,
