entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,AcquiredIntangibleAssets,Assets,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,NoncurrentDeferredTaxAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
28691947,2015-01-01,2015-12-31,ID_14,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_15,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_16,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_17,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_18,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,82890.0,3698.0,58534.0,29004.0,87946.0,91840.0,30888.0,-28054.0,-60952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_2,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_20,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,-91840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_22,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,-91840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_26,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_27,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_28,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_29,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2Y1LzIzL2I1LzM1NzAtNGY4MS05MTI1LWE3NDhjY2Y1YWExMA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2U0Lzg3LzVjLzc2LzYzODctNDcyMi1iOWRjLTVhODg4ZGNjY2RiOQ.xml,"Herlev, 2730",Herlev Hovedgade 195,To the shareholder of DNB Invest Danmark A/S,Independent auditors' report on the financial statements,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2015 and of the results of the Company's operations for the financial year 1 January - 31 December 2015.,2016-05-23,2005-04-27,2016-05-26,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015.,"We have audited the financial statements of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2015 which comprise income statement, balance sheet, a summary of significant accounting policies and notes. The financial statements are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,DNB Invest Denmark A/S,Accountor Denmark A/S,"Copenhagen, 23 May 2016",2014-01-01,2014-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2015-12-31,2015-01-01,2016-05-23,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22465331,indberetninger-20180424,2.5124211,28691947.0,,2018-03-29T05:24:32.796Z,2016-05-27T10:52:45.181Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-96-FJ,2016-05-27T10:52:45.319Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
