entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEquity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,ProfitLossRelatedToInvestments,GrossProfitLoss,IncomeFromInvestmentsInAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Dividend,DividendPaid,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTradePayables
36903791,2017-10-31,2017-10-31,c237,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,-3290482.0,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,3608508.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,,,,,,,,,,,,318026.0,,,,,,,,,,,,,,,,,,,
36903791,2017-10-31,2017-10-31,c4,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,3501567.0,,,,,,,,,,,,343026.0,3618303.0,58955.0,250000.0,3275277.0,3618303.0,116736.0,318026.0,343026.0,25000.0,2300895.0,99370.0,105800.0,3145767.0,2300895.0,116736.0,915427.0,915427.0,11166.0,6200.0
36903791,2017-10-31,2017-10-31,c706,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-10-31,2017-10-31,c727,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,3145767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-10-31,2017-10-31,c730,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,105800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2017-11-01,c177,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2017-11-01,c195,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,3145768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2017-11-01,c198,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,105800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2017-11-01,c232,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,-3290482.0,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,3608508.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2018-10-31,c1,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,-32534.0,,-37575.0,30444.0,208126.0,182723.0,-32534.0,-37575.0,0.0,,,,,,,,,,,,,,,,,,,,,,
